t,S,E,I-P,I-A,I-S,I-H,R,D_cum,alive
1,1,0,0,0,0,0,0,0,1
2,2,0,1,0,0,0,0,0,3
3,0,0,3,0,0,0,1,0,4
4,1,0,3,0,0,0,0,0,4
5,0,2,0,0,2,0,1,0,5
6,0,1,2,0,2,0,1,0,6
7,0,1,0,2,1,0,3,0,7
8,0,2,1,0,0,0,5,0,8
9,0,0,3,0,1,0,5,0,9
10,1,0,1,1,2,0,5,0,10
11,0,2,1,0,0,0,8,0,11
12,2,0,2,0,1,0,7,0,12
13,0,3,2,0,0,0,8,0,13
14,2,0,3,0,1,0,8,0,14
15,1,0,5,0,0,0,9,0,15
16,1,2,0,0,5,0,8,0,16
17,0,2,2,0,5,0,8,0,17
18,2,0,2,0,2,2,10,0,18
19,0,0,5,0,0,0,14,0,19
20,0,2,0,3,0,0,15,0,20
21,0,1,2,0,0,0,18,0,21
22,2,1,3,0,0,0,17,0,23
23,1,0,3,0,0,0,20,0,24
24,2,0,4,0,0,0,19,0,25
25,1,0,2,0,1,0,22,0,26
26,1,2,0,1,1,0,22,0,27
27,0,2,2,0,0,0,24,0,28
28,0,2,2,0,1,0,24,0,29
29,0,1,0,3,1,0,25,0,30
30,1,0,2,0,1,0,27,0,31
31,1,0,3,0,0,0,28,0,32
32,0,3,0,1,2,0,27,0,33
33,0,1,3,0,2,0,28,0,34
34,2,0,1,2,1,0,30,0,36
35,0,0,4,0,0,0,32,0,36
36,2,0,0,3,1,0,31,0,37
37,1,0,2,0,1,0,34,0,38
38,0,0,3,0,1,0,35,0,39
39,0,0,1,2,1,1,35,0,40
40,1,0,1,0,0,0,39,0,41
41,2,0,1,0,0,1,38,0,42
42,1,0,2,0,0,1,39,0,43
43,0,3,0,0,1,0,40,0,44
44,0,1,3,0,0,0,41,0,45
45,2,0,4,0,0,0,40,0,46
46,0,3,1,1,2,0,40,0,47
47,0,1,0,2,2,0,43,0,48
48,0,2,1,0,0,0,46,0,49
49,2,0,2,0,1,0,45,0,50
50,0,0,3,0,2,0,46,0,51
51,2,0,0,0,4,0,46,0,52
52,1,0,2,0,0,1,49,0,53
53,0,0,4,0,0,0,49,0,53
54,0,1,1,0,0,0,52,0,54
55,0,2,0,0,1,0,52,0,55
56,0,1,0,1,1,0,53,0,56
57,1,0,2,0,0,0,54,0,57
58,1,1,0,0,0,0,56,0,58
59,2,0,2,0,0,0,55,0,59
60,0,0,5,0,0,0,55,0,60
61,0,0,5,1,0,0,55,0,61
62,1,0,0,2,3,0,56,0,62
63,2,1,0,0,3,0,57,0,63
64,1,3,1,0,0,0,59,0,64
65,0,2,3,0,0,0,60,0,65
66,0,0,6,0,0,0,60,0,66
67,1,0,4,0,0,0,62,0,67
68,1,1,0,1,3,0,62,0,68
69,2,0,2,0,3,0,62,0,69
70,0,0,3,1,1,0,65,0,70
71,1,1,0,3,0,0,66,0,71
72,0,0,3,0,0,0,68,0,71
73,1,0,0,0,3,0,68,0,72
74,1,0,2,0,0,0,70,0,73
75,1,0,3,0,0,0,70,0,74
76,1,0,2,3,0,0,69,0,75
77,1,0,1,0,1,0,73,0,76
78,2,0,0,1,2,0,72,0,77
79,0,3,0,0,0,0,75,0,78
80,0,2,3,0,0,0,74,0,79
81,1,0,2,2,1,0,74,0,80
82,0,3,0,1,1,0,76,0,81
83,1,0,3,0,1,0,77,0,82
84,2,0,1,0,2,0,79,0,84
85,2,2,0,1,0,2,78,0,85
86,0,0,4,0,0,0,80,0,84
87,2,0,5,0,0,0,79,1,86
88,0,0,4,0,3,0,79,1,86
89,0,2,3,1,0,0,82,1,88
90,1,0,3,0,2,0,83,1,89
91,1,1,0,0,2,0,86,1,90
92,0,0,3,0,0,0,87,1,90
93,0,1,0,0,2,0,88,1,91
94,1,1,0,1,2,0,87,1,92
95,0,2,1,0,0,0,90,1,93
96,0,3,2,1,0,0,89,1,95
