tick,t_h,T_out,T_in,Q,energy_cum_kWh,error,in_band,violation_Fh
0,0.0000,15.879,70.000,0.000,0.000,-0.296,1,0.0000
1,0.0167,13.306,69.925,0.254,0.004,0.046,1,0.0000
2,0.0333,15.522,69.850,0.534,0.013,0.357,1,0.0000
3,0.0500,13.607,69.784,0.284,0.018,0.019,1,0.0000
4,0.0667,13.617,69.711,0.571,0.027,0.451,1,0.0000
5,0.0833,12.897,69.642,0.539,0.036,0.441,1,0.0000
6,0.1000,12.294,69.572,0.289,0.041,0.243,1,0.0000
7,0.1167,12.965,69.498,0.039,0.042,0.070,1,0.0000
8,0.1333,14.202,69.420,0.318,0.047,0.354,1,0.0000
9,0.1500,12.015,69.348,0.644,0.058,0.913,1,0.0000
10,0.1667,12.391,69.279,0.394,0.064,0.803,1,0.0000
11,0.1833,14.701,69.207,0.686,0.076,0.845,1,0.0000
12,0.2000,12.064,69.143,0.983,0.092,0.895,1,0.0000
13,0.2167,14.822,69.080,1.334,0.114,1.214,1,0.0000
14,0.2333,14.947,69.027,1.084,0.133,1.064,1,0.0000
15,0.2500,11.042,68.970,1.351,0.155,1.100,1,0.0000
16,0.2667,14.482,68.912,1.699,0.183,1.181,1,0.0000
17,0.2833,13.895,68.864,2.054,0.218,1.263,1,0.0000
18,0.3000,14.786,68.822,2.178,0.254,1.265,1,0.0000
19,0.3167,14.829,68.784,1.928,0.286,1.172,1,0.0000
20,0.3333,13.472,68.741,2.292,0.324,1.369,1,0.0000
21,0.3500,14.203,68.702,2.042,0.358,1.215,1,0.0000
22,0.3667,15.665,68.661,2.429,0.399,1.647,1,0.0000
23,0.3833,11.842,68.627,2.179,0.435,1.483,1,0.0000
24,0.4000,14.018,68.585,1.929,0.467,1.004,1,0.0000
25,0.4167,13.570,68.541,2.307,0.506,1.531,1,0.0000
26,0.4333,13.378,68.503,2.057,0.540,1.261,1,0.0000
27,0.4500,11.559,68.461,2.427,0.580,1.443,1,0.0000
28,0.4667,14.830,68.422,2.829,0.627,1.822,1,0.0000
29,0.4833,12.510,68.395,2.579,0.670,1.409,1,0.0000
30,0.5000,13.771,68.361,2.984,0.720,1.859,1,0.0000
31,0.5167,13.607,68.334,2.734,0.766,1.480,1,0.0000
32,0.5333,12.099,68.304,3.104,0.817,1.545,1,0.0000
33,0.5500,10.207,68.278,3.525,0.876,2.048,1,0.0000
34,0.5667,14.958,68.256,3.275,0.931,1.583,1,0.0000
35,0.5833,10.793,68.236,3.695,0.992,2.042,1,0.0000
36,0.6000,12.692,68.218,3.445,1.050,1.665,1,0.0000
37,0.6167,12.716,68.198,3.772,1.113,1.718,1,0.0000
38,0.6333,13.417,68.184,3.731,1.175,1.691,1,0.0000
39,0.6500,10.619,68.170,3.553,1.234,1.643,1,0.0000
40,0.6667,12.074,68.150,3.972,1.300,2.023,1,0.0000
41,0.6833,9.544,68.138,4.396,1.374,2.090,1,0.0000
42,0.7000,11.720,68.130,4.146,1.443,1.488,1,0.0000
43,0.7167,14.878,68.121,4.538,1.518,1.703,1,0.0000
44,0.7333,13.573,68.122,4.943,1.601,1.866,1,0.0000
45,0.7500,12.814,68.129,5.000,1.684,1.861,1,0.0000
46,0.7667,12.365,68.135,4.750,1.763,1.748,1,0.0000
47,0.7833,15.521,68.137,4.788,1.843,1.737,1,0.0000
48,0.8000,9.913,68.144,4.538,1.919,1.534,1,0.0000
49,0.8167,14.816,68.139,4.943,2.001,1.861,1,0.0000
50,0.8333,15.306,68.147,5.000,2.084,2.065,1,0.0000
51,0.8500,13.031,68.157,5.000,2.168,2.392,1,0.0000
52,0.8667,13.823,68.164,4.750,2.247,1.692,1,0.0000
53,0.8833,11.442,68.167,5.000,2.330,1.930,1,0.0000
54,0.9000,10.857,68.172,4.750,2.409,1.526,1,0.0000
55,0.9167,14.800,68.171,5.000,2.493,1.949,1,0.0000
56,0.9333,8.516,68.181,4.750,2.572,1.727,1,0.0000
57,0.9500,12.153,68.177,5.000,2.655,1.828,1,0.0000
58,0.9667,13.221,68.182,5.000,2.738,1.886,1,0.0000
59,0.9833,11.755,68.189,4.750,2.818,1.543,1,0.0000
60,1.0000,9.962,68.190,5.000,2.901,1.770,1,0.0000
61,1.0167,11.588,68.193,5.000,2.984,1.928,1,0.0000
62,1.0333,9.925,68.197,4.750,3.063,1.668,1,0.0000
