tick,t_h,T_out,T_in,Q,energy_cum_kWh,error,in_band,violation_Fh
0,0.0000,15.879,70.000,0.000,0.000,-0.296,1,0.0000
1,0.0167,13.306,69.925,5.000,0.083,0.046,1,0.0000
2,0.0333,15.522,69.930,5.000,0.167,0.278,1,0.0000
3,0.0500,13.607,69.937,0.000,0.167,-0.135,1,0.0000
4,0.0667,13.617,69.859,5.000,0.250,0.303,1,0.0000
5,0.0833,12.897,69.864,5.000,0.333,0.218,1,0.0000
6,0.1000,12.294,69.868,0.000,0.333,-0.053,1,0.0000
7,0.1167,12.965,69.789,0.000,0.333,-0.221,1,0.0000
8,0.1333,14.202,69.710,5.000,0.417,0.064,1,0.0000
9,0.1500,12.015,69.716,5.000,0.500,0.546,1,0.0000
10,0.1667,12.391,69.719,5.000,0.583,0.364,1,0.0000
11,0.1833,14.701,69.723,5.000,0.667,0.329,1,0.0000
12,0.2000,12.064,69.730,5.000,0.750,0.309,1,0.0000
13,0.2167,14.822,69.733,5.000,0.833,0.561,1,0.0000
14,0.2333,14.947,69.740,5.000,0.917,0.351,1,0.0000
15,0.2500,11.042,69.747,5.000,1.000,0.323,1,0.0000
16,0.2667,14.482,69.749,5.000,1.083,0.344,1,0.0000
17,0.2833,13.895,69.756,5.000,1.167,0.371,1,0.0000
18,0.3000,14.786,69.761,5.000,1.250,0.326,1,0.0000
19,0.3167,14.829,69.768,5.000,1.333,0.187,1,0.0000
20,0.3333,13.472,69.775,5.000,1.417,0.334,1,0.0000
21,0.3500,14.203,69.780,5.000,1.500,0.136,1,0.0000
22,0.3667,15.665,69.787,5.000,1.583,0.521,1,0.0000
23,0.3833,11.842,69.795,5.000,1.667,0.315,1,0.0000
24,0.4000,14.018,69.798,0.000,1.667,-0.208,1,0.0000
25,0.4167,13.570,69.720,5.000,1.750,0.352,1,0.0000
26,0.4333,13.378,69.725,5.000,1.833,0.039,1,0.0000
27,0.4500,11.559,69.731,5.000,1.917,0.174,1,0.0000
28,0.4667,14.830,69.733,5.000,2.000,0.512,1,0.0000
29,0.4833,12.510,69.740,5.000,2.083,0.064,1,0.0000
30,0.5000,13.771,69.744,5.000,2.167,0.476,1,0.0000
31,0.5167,13.607,69.750,5.000,2.250,0.065,1,0.0000
32,0.5333,12.099,69.755,5.000,2.333,0.094,1,0.0000
33,0.5500,10.207,69.758,5.000,2.417,0.568,1,0.0000
34,0.5667,14.958,69.759,5.000,2.500,0.080,1,0.0000
35,0.5833,10.793,69.766,5.000,2.583,0.512,1,0.0000
36,0.6000,12.692,69.768,5.000,2.667,0.116,1,0.0000
37,0.6167,12.716,69.772,5.000,2.750,0.145,1,0.0000
38,0.6333,13.417,69.776,5.000,2.833,0.100,1,0.0000
39,0.6500,10.619,69.781,5.000,2.917,0.033,1,0.0000
40,0.6667,12.074,69.782,5.000,3.000,0.391,1,0.0000
41,0.6833,9.544,69.785,5.000,3.083,0.443,1,0.0000
42,0.7000,11.720,69.785,0.000,3.083,-0.167,1,0.0000
43,0.7167,14.878,69.704,5.000,3.167,0.120,1,0.0000
44,0.7333,13.573,69.711,5.000,3.250,0.277,1,0.0000
45,0.7500,12.814,69.717,5.000,3.333,0.273,1,0.0000
46,0.7667,12.365,69.721,5.000,3.417,0.163,1,0.0000
47,0.7833,15.521,69.725,5.000,3.500,0.150,1,0.0000
48,0.8000,9.913,69.733,0.000,3.500,-0.055,1,0.0000
49,0.8167,14.816,69.650,5.000,3.583,0.350,1,0.0000
50,0.8333,15.306,69.657,5.000,3.667,0.555,1,0.0000
51,0.8500,13.031,69.665,5.000,3.750,0.884,1,0.0000
52,0.8667,13.823,69.669,5.000,3.833,0.186,1,0.0000
53,0.8833,11.442,69.675,5.000,3.917,0.422,1,0.0000
54,0.9000,10.857,69.677,5.000,4.000,0.020,1,0.0000
55,0.9167,14.800,69.679,5.000,4.083,0.441,1,0.0000
56,0.9333,8.516,69.686,5.000,4.167,0.221,1,0.0000
57,0.9500,12.153,69.685,5.000,4.250,0.320,1,0.0000
58,0.9667,13.221,69.688,5.000,4.333,0.381,1,0.0000
59,0.9833,11.755,69.693,5.000,4.417,0.039,1,0.0000
60,1.0000,9.962,69.696,5.000,4.500,0.265,1,0.0000
61,1.0167,11.588,69.696,5.000,4.583,0.424,1,0.0000
62,1.0333,9.925,69.699,5.000,4.667,0.166,1,0.0000
63,1.0500,11.994,69.699,5.000,4.750,0.065,1,0.0000
64,1.0667,11.499,69.702,5.000,4.833,0.601,1,0.0000
65,1.0833,10.185,69.705,5.000,4.917,0.354,1,0.0000
66,1.1000,12.793,69.705,5.000,5.000,0.020,1,0.0000
67,1.1167,13.896,69.710,5.000,5.083,0.147,1,0.0000
68,1.1333,8.839,69.716,5.000,5.167,0.439,1,0.0000
69,1.1500,10.849,69.714,5.000,5.250,0.007,1,0.0000
70,1.1667,11.582,69.716,5.000,5.333,0.037,1,0.0000
71,1.1833,11.643,69.719,5.000,5.417,0.317,1,0.0000
72,1.2000,12.591,69.721,5.000,5.500,0.269,1,0.0000
73,1.2167,14.202,69.725,5.000,5.583,0.073,1,0.0000
74,1.2333,12.056,69.731,5.000,5.667,0.530,1,0.0000
75,1.2500,12.955,69.735,5.000,5.750,0.385,1,0.0000
76,1.2667,14.804,69.739,5.000,5.833,0.018,1,0.0000
77,1.2833,12.719,69.746,5.000,5.917,0.356,1,0.0000
78,1.3000,12.661,69.750,0.000,5.917,-0.065,1,0.0000
79,1.3167,11.752,69.671,0.000,5.917,-0.099,1,0.0000
80,1.3333,12.258,69.591,5.000,6.000,0.494,1,0.0000
81,1.3500,11.403,69.594,5.000,6.083,0.393,1,0.0000
82,1.3667,13.574,69.597,5.000,6.167,0.395,1,0.0000
83,1.3833,12.571,69.602,5.000,6.250,-0.032,1,0.0000
84,1.4000,11.133,69.606,5.000,6.333,0.864,1,0.0000
85,1.4167,11.673,69.609,5.000,6.417,0.319,1,0.0000
86,1.4333,9.804,69.611,5.000,6.500,0.546,1,0.0000
87,1.4500,9.716,69.612,5.000,6.583,0.377,1,0.0000
88,1.4667,10.253,69.612,5.000,6.667,0.255,1,0.0000
89,1.4833,11.417,69.613,5.000,6.750,0.484,1,0.0000
90,1.5000,13.139,69.615,5.000,6.833,0.261,1,0.0000
91,1.5167,9.679,69.620,5.000,6.917,0.087,1,0.0000
92,1.5333,10.516,69.620,5.000,7.000,0.695,1,0.0000
93,1.5500,10.993,69.621,5.000,7.083,0.639,1,0.0000
94,1.5667,10.480,69.623,5.000,7.167,0.341,1,0.0000
95,1.5833,8.014,69.625,5.000,7.250,0.517,1,0.0000
96,1.6000,12.954,69.622,5.000,7.333,0.243,1,0.0000
97,1.6167,11.531,69.627,5.000,7.417,0.319,1,0.0000
98,1.6333,10.614,69.630,5.000,7.500,0.411,1,0.0000
99,1.6500,9.432,69.631,5.000,7.583,0.207,1,0.0000
100,1.6667,13.784,69.631,5.000,7.667,0.176,1,0.0000
101,1.6833,9.706,69.636,5.000,7.750,0.449,1,0.0000
102,1.7000,9.178,69.637,5.000,7.833,0.654,1,0.0000
103,1.7167,10.900,69.636,5.000,7.917,0.616,1,0.0000
104,1.7333,11.438,69.638,5.000,8.000,0.121,1,0.0000
105,1.7500,10.455,69.640,5.000,8.083,0.194,1,0.0000
106,1.7667,10.906,69.641,5.000,8.167,0.357,1,0.0000
107,1.7833,11.129,69.643,5.000,8.250,0.428,1,0.0000
108,1.8000,9.788,69.645,5.000,8.333,0.391,1,0.0000
109,1.8167,10.232,69.645,5.000,8.417,0.168,1,0.0000
110,1.8333,11.441,69.646,5.000,8.500,0.258,1,0.0000
111,1.8500,11.488,69.649,5.000,8.583,0.016,1,0.0000
112,1.8667,10.476,69.651,5.000,8.667,0.366,1,0.0000
113,1.8833,8.743,69.652,0.000,8.667,-0.073,1,0.0000
114,1.9000,10.365,69.568,5.000,8.750,0.502,1,0.0000
115,1.9167,8.716,69.569,5.000,8.833,0.531,1,0.0000
116,1.9333,13.525,69.568,5.000,8.917,0.469,1,0.0000
117,1.9500,9.708,69.573,5.000,9.000,0.223,1,0.0000
118,1.9667,10.586,69.573,5.000,9.083,0.268,1,0.0000
119,1.9833,9.019,69.575,5.000,9.167,0.439,1,0.0000
120,2.0000,11.055,69.574,5.000,9.250,0.454,1,0.0000
121,2.0167,11.175,69.576,5.000,9.333,0.444,1,0.0000
122,2.0333,9.308,69.578,5.000,9.417,0.175,1,0.0000
123,2.0500,10.613,69.578,5.000,9.500,0.626,1,0.0000
124,2.0667,12.663,69.579,5.000,9.583,0.288,1,0.0000
125,2.0833,9.122,69.584,5.000,9.667,0.277,1,0.0000
126,2.1000,11.283,69.583,5.000,9.750,0.582,1,0.0000
127,2.1167,14.247,69.585,5.000,9.833,0.373,1,0.0000
128,2.1333,14.407,69.592,5.000,9.917,0.345,1,0.0000
129,2.1500,8.488,69.598,5.000,10.000,0.589,1,0.0000
130,2.1667,12.489,69.597,5.000,10.083,0.410,1,0.0000
131,2.1833,11.759,69.601,5.000,10.167,0.518,1,0.0000
132,2.2000,8.864,69.604,5.000,10.250,0.508,1,0.0000
133,2.2167,8.111,69.603,5.000,10.333,0.394,1,0.0000
134,2.2333,11.874,69.601,5.000,10.417,0.563,1,0.0000
135,2.2500,10.178,69.604,5.000,10.500,0.287,1,0.0000
136,2.2667,11.332,69.605,5.000,10.583,0.453,1,0.0000
137,2.2833,11.796,69.607,5.000,10.667,0.444,1,0.0000
138,2.3000,10.096,69.610,5.000,10.750,0.193,1,0.0000
139,2.3167,9.817,69.611,5.000,10.833,0.273,1,0.0000
140,2.3333,11.449,69.611,5.000,10.917,0.236,1,0.0000
141,2.3500,10.177,69.614,5.000,11.000,0.311,1,0.0000
142,2.3667,11.624,69.614,5.000,11.083,0.460,1,0.0000
