tick,t_h,T_out,T_in,Q,energy_cum_kWh,error,in_band,violation_Fh
0,0.0000,15.879,70.000,0.000,0.000,-0.296,1,0.0000
1,0.0167,13.306,69.925,0.000,0.000,0.046,1,0.0000
2,0.0333,15.522,69.846,5.000,0.083,0.362,1,0.0000
3,0.0500,13.607,69.854,0.000,0.083,-0.051,1,0.0000
4,0.0667,13.617,69.776,5.000,0.167,0.386,1,0.0000
5,0.0833,12.897,69.781,5.000,0.250,0.301,1,0.0000
6,0.1000,12.294,69.786,0.000,0.250,0.030,1,0.0000
7,0.1167,12.965,69.706,0.000,0.250,-0.139,1,0.0000
8,0.1333,14.202,69.627,5.000,0.333,0.147,1,0.0000
9,0.1500,12.015,69.633,5.000,0.417,0.628,1,0.0000
10,0.1667,12.391,69.637,5.000,0.500,0.446,1,0.0000
11,0.1833,14.701,69.640,5.000,0.583,0.412,1,0.0000
12,0.2000,12.064,69.647,5.000,0.667,0.391,1,0.0000
13,0.2167,14.822,69.651,5.000,0.750,0.643,1,0.0000
14,0.2333,14.947,69.658,5.000,0.833,0.433,1,0.0000
15,0.2500,11.042,69.665,5.000,0.917,0.405,1,0.0000
16,0.2667,14.482,69.667,5.000,1.000,0.426,1,0.0000
17,0.2833,13.895,69.674,5.000,1.083,0.453,1,0.0000
18,0.3000,14.786,69.680,5.000,1.167,0.407,1,0.0000
19,0.3167,14.829,69.687,5.000,1.250,0.268,1,0.0000
20,0.3333,13.472,69.694,5.000,1.333,0.415,1,0.0000
21,0.3500,14.203,69.699,5.000,1.417,0.218,1,0.0000
22,0.3667,15.665,69.706,5.000,1.500,0.602,1,0.0000
23,0.3833,11.842,69.714,5.000,1.583,0.396,1,0.0000
24,0.4000,14.018,69.717,0.000,1.583,-0.128,1,0.0000
25,0.4167,13.570,69.639,5.000,1.667,0.432,1,0.0000
26,0.4333,13.378,69.645,5.000,1.750,0.119,1,0.0000
27,0.4500,11.559,69.650,5.000,1.833,0.254,1,0.0000
28,0.4667,14.830,69.653,5.000,1.917,0.592,1,0.0000
29,0.4833,12.510,69.660,5.000,2.000,0.144,1,0.0000
30,0.5000,13.771,69.664,5.000,2.083,0.556,1,0.0000
31,0.5167,13.607,69.670,5.000,2.167,0.145,1,0.0000
32,0.5333,12.099,69.675,5.000,2.250,0.174,1,0.0000
33,0.5500,10.207,69.678,5.000,2.333,0.648,1,0.0000
34,0.5667,14.958,69.679,5.000,2.417,0.160,1,0.0000
35,0.5833,10.793,69.686,5.000,2.500,0.591,1,0.0000
36,0.6000,12.692,69.688,5.000,2.583,0.195,1,0.0000
37,0.6167,12.716,69.692,5.000,2.667,0.224,1,0.0000
38,0.6333,13.417,69.696,5.000,2.750,0.179,1,0.0000
39,0.6500,10.619,69.702,5.000,2.833,0.112,1,0.0000
40,0.6667,12.074,69.703,5.000,2.917,0.470,1,0.0000
41,0.6833,9.544,69.706,5.000,3.000,0.522,1,0.0000
42,0.7000,11.720,69.706,0.000,3.000,-0.088,1,0.0000
43,0.7167,14.878,69.625,5.000,3.083,0.199,1,0.0000
44,0.7333,13.573,69.633,5.000,3.167,0.355,1,0.0000
45,0.7500,12.814,69.638,5.000,3.250,0.351,1,0.0000
46,0.7667,12.365,69.643,5.000,3.333,0.241,1,0.0000
47,0.7833,15.521,69.646,5.000,3.417,0.228,1,0.0000
48,0.8000,9.913,69.654,0.000,3.417,0.023,1,0.0000
49,0.8167,14.816,69.572,5.000,3.500,0.429,1,0.0000
50,0.8333,15.306,69.579,5.000,3.583,0.633,1,0.0000
51,0.8500,13.031,69.587,5.000,3.667,0.962,1,0.0000
52,0.8667,13.823,69.592,5.000,3.750,0.264,1,0.0000
53,0.8833,11.442,69.597,5.000,3.833,0.500,1,0.0000
54,0.9000,10.857,69.600,5.000,3.917,0.098,1,0.0000
55,0.9167,14.800,69.602,5.000,4.000,0.519,1,0.0000
56,0.9333,8.516,69.609,5.000,4.083,0.298,1,0.0000
57,0.9500,12.153,69.607,5.000,4.167,0.397,1,0.0000
58,0.9667,13.221,69.611,5.000,4.250,0.458,1,0.0000
59,0.9833,11.755,69.616,5.000,4.333,0.116,1,0.0000
60,1.0000,9.962,69.619,5.000,4.417,0.341,1,0.0000
61,1.0167,11.588,69.619,5.000,4.500,0.501,1,0.0000
62,1.0333,9.925,69.622,5.000,4.583,0.243,1,0.0000
63,1.0500,11.994,69.623,5.000,4.667,0.141,1,0.0000
64,1.0667,11.499,69.626,5.000,4.750,0.677,1,0.0000
65,1.0833,10.185,69.628,5.000,4.833,0.431,1,0.0000
66,1.1000,12.793,69.629,5.000,4.917,0.096,1,0.0000
67,1.1167,13.896,69.634,5.000,5.000,0.223,1,0.0000
68,1.1333,8.839,69.640,5.000,5.083,0.515,1,0.0000
69,1.1500,10.849,69.638,5.000,5.167,0.082,1,0.0000
70,1.1667,11.582,69.640,5.000,5.250,0.112,1,0.0000
71,1.1833,11.643,69.643,5.000,5.333,0.392,1,0.0000
72,1.2000,12.591,69.646,5.000,5.417,0.344,1,0.0000
73,1.2167,14.202,69.650,5.000,5.500,0.149,1,0.0000
74,1.2333,12.056,69.656,5.000,5.583,0.606,1,0.0000
75,1.2500,12.955,69.659,5.000,5.667,0.461,1,0.0000
76,1.2667,14.804,69.664,5.000,5.750,0.094,1,0.0000
77,1.2833,12.719,69.671,5.000,5.833,0.431,1,0.0000
78,1.3000,12.661,69.675,0.000,5.833,0.010,1,0.0000
79,1.3167,11.752,69.596,0.000,5.833,-0.024,1,0.0000
80,1.3333,12.258,69.516,5.000,5.917,0.569,1,0.0000
81,1.3500,11.403,69.520,5.000,6.000,0.467,1,0.0000
82,1.3667,13.574,69.522,5.000,6.083,0.470,1,0.0000
83,1.3833,12.571,69.528,0.000,6.083,0.042,1,0.0000
84,1.4000,11.133,69.449,5.000,6.167,1.022,1,0.0000
85,1.4167,11.673,69.451,5.000,6.250,0.476,1,0.0000
86,1.4333,9.804,69.454,5.000,6.333,0.704,1,0.0000
87,1.4500,9.716,69.455,5.000,6.417,0.534,1,0.0000
88,1.4667,10.253,69.455,5.000,6.500,0.411,1,0.0000
89,1.4833,11.417,69.456,5.000,6.583,0.640,1,0.0000
90,1.5000,13.139,69.459,5.000,6.667,0.418,1,0.0000
91,1.5167,9.679,69.464,5.000,6.750,0.243,1,0.0000
92,1.5333,10.516,69.464,5.000,6.833,0.851,1,0.0000
93,1.5500,10.993,69.466,5.000,6.917,0.795,1,0.0000
94,1.5667,10.480,69.468,5.000,7.000,0.496,1,0.0000
95,1.5833,8.014,69.469,5.000,7.083,0.672,1,0.0000
96,1.6000,12.954,69.467,5.000,7.167,0.398,1,0.0000
97,1.6167,11.531,69.472,5.000,7.250,0.474,1,0.0000
98,1.6333,10.614,69.475,5.000,7.333,0.566,1,0.0000
99,1.6500,9.432,69.476,5.000,7.417,0.361,1,0.0000
100,1.6667,13.784,69.476,5.000,7.500,0.330,1,0.0000
101,1.6833,9.706,69.482,5.000,7.583,0.603,1,0.0000
102,1.7000,9.178,69.483,5.000,7.667,0.808,1,0.0000
103,1.7167,10.900,69.482,5.000,7.750,0.769,1,0.0000
104,1.7333,11.438,69.484,5.000,7.833,0.274,1,0.0000
105,1.7500,10.455,69.487,5.000,7.917,0.347,1,0.0000
106,1.7667,10.906,69.488,5.000,8.000,0.510,1,0.0000
107,1.7833,11.129,69.490,5.000,8.083,0.581,1,0.0000
108,1.8000,9.788,69.493,5.000,8.167,0.544,1,0.0000
109,1.8167,10.232,69.493,5.000,8.250,0.320,1,0.0000
110,1.8333,11.441,69.494,5.000,8.333,0.410,1,0.0000
111,1.8500,11.488,69.497,5.000,8.417,0.168,1,0.0000
112,1.8667,10.476,69.499,5.000,8.500,0.517,1,0.0000
113,1.8833,8.743,69.501,5.000,8.583,0.078,1,0.0000
114,1.9000,10.365,69.500,5.000,8.667,0.570,1,0.0000
115,1.9167,8.716,69.501,5.000,8.750,0.599,1,0.0000
116,1.9333,13.525,69.500,5.000,8.833,0.537,1,0.0000
117,1.9500,9.708,69.505,5.000,8.917,0.290,1,0.0000
118,1.9667,10.586,69.506,5.000,9.000,0.336,1,0.0000
