tick,t_h,T_out,T_in,Q,energy_cum_kWh,error,in_band,violation_Fh
0,0.0000,15.879,70.000,0.000,0.000,-0.296,1,0.0000
1,0.0167,13.306,69.925,1.843,0.031,0.046,1,0.0000
2,0.0333,15.522,69.877,3.845,0.095,0.331,1,0.0000
3,0.0500,13.607,69.866,0.219,0.098,-0.063,1,0.0000
4,0.0667,13.617,69.791,3.622,0.159,0.371,1,0.0000
5,0.0833,12.897,69.773,2.717,0.204,0.309,1,0.0000
6,0.1000,12.294,69.740,0.554,0.213,0.076,1,0.0000
7,0.1167,12.965,69.669,0.000,0.213,-0.102,1,0.0000
8,0.1333,14.202,69.590,1.465,0.238,0.183,1,0.0000
9,0.1500,12.015,69.538,5.000,0.321,0.724,1,0.0000
10,0.1667,12.391,69.541,3.610,0.381,0.542,1,0.0000
11,0.1833,14.701,69.522,3.193,0.434,0.530,1,0.0000
12,0.2000,12.064,69.499,3.006,0.485,0.539,1,0.0000
13,0.2167,14.822,69.469,5.000,0.568,0.825,1,0.0000
14,0.2333,14.947,69.477,2.956,0.617,0.614,1,0.0000
15,0.2500,11.042,69.450,2.824,0.664,0.619,1,0.0000
16,0.2667,14.482,69.416,3.131,0.716,0.677,1,0.0000
17,0.2833,13.895,69.392,3.426,0.774,0.735,1,0.0000
18,0.3000,14.786,69.372,3.078,0.825,0.715,1,0.0000
19,0.3167,14.829,69.348,2.076,0.859,0.608,1,0.0000
20,0.3333,13.472,69.307,3.611,0.920,0.803,1,0.0000
21,0.3500,14.203,69.289,2.026,0.953,0.628,1,0.0000
22,0.3667,15.665,69.247,5.000,1.037,1.061,1,0.0000
23,0.3833,11.842,69.255,3.465,1.094,0.855,1,0.0000
24,0.4000,14.018,69.233,0.000,1.094,0.356,1,0.0000
25,0.4167,13.570,69.157,4.124,1.163,0.915,1,0.0000
26,0.4333,13.378,69.148,1.518,1.188,0.616,1,0.0000
27,0.4500,11.559,69.096,3.134,1.241,0.808,1,0.0000
28,0.4667,14.830,69.068,5.000,1.324,1.176,1,0.0000
29,0.4833,12.510,69.076,2.001,1.357,0.727,1,0.0000
30,0.5000,13.771,69.031,5.000,1.441,1.189,1,0.0000
31,0.5167,13.607,69.038,2.102,1.476,0.776,1,0.0000
32,0.5333,12.099,68.996,2.782,1.522,0.853,1,0.0000
33,0.5500,10.207,68.963,5.000,1.605,1.363,1,0.0000
34,0.5667,14.958,68.965,2.495,1.647,0.874,1,0.0000
35,0.5833,10.793,68.932,5.000,1.730,1.346,1,0.0000
36,0.6000,12.692,68.934,2.790,1.777,0.949,1,0.0000
37,0.6167,12.716,68.903,3.346,1.833,1.014,1,0.0000
38,0.6333,13.417,68.880,3.179,1.886,0.995,1,0.0000
39,0.6500,10.619,68.856,2.876,1.934,0.957,1,0.0000
40,0.6667,12.074,68.823,5.000,2.017,1.350,1,0.0000
41,0.6833,9.544,68.828,5.000,2.100,1.400,1,0.0000
42,0.7000,11.720,68.829,0.961,2.116,0.789,1,0.0000
43,0.7167,14.878,68.765,3.387,2.173,1.059,1,0.0000
44,0.7333,13.573,68.747,4.850,2.254,1.241,1,0.0000
45,0.7500,12.814,68.751,4.680,2.332,1.238,1,0.0000
46,0.7667,12.365,68.752,3.713,2.393,1.132,1,0.0000
47,0.7833,15.521,68.735,3.762,2.456,1.139,1,0.0000
48,0.8000,9.913,68.724,2.263,2.494,0.954,1,0.0000
49,0.8167,14.816,68.680,5.000,2.577,1.320,1,0.0000
50,0.8333,15.306,68.689,5.000,2.661,1.523,1,0.0000
51,0.8500,13.031,68.698,5.000,2.744,1.851,1,0.0000
52,0.8667,13.823,68.704,2.928,2.793,1.152,1,0.0000
53,0.8833,11.442,68.676,5.000,2.876,1.421,1,0.0000
54,0.9000,10.857,68.680,1.870,2.907,1.018,1,0.0000
55,0.9167,14.800,68.631,5.000,2.991,1.489,1,0.0000
56,0.9333,8.516,68.640,3.922,3.056,1.268,1,0.0000
57,0.9500,12.153,68.621,4.880,3.137,1.383,1,0.0000
58,0.9667,13.221,68.624,5.000,3.221,1.444,1,0.0000
59,0.9833,11.755,68.631,2.438,3.261,1.101,1,0.0000
60,1.0000,9.962,68.592,4.773,3.341,1.368,1,0.0000
61,1.0167,11.588,68.590,5.000,3.424,1.530,1,0.0000
62,1.0333,9.925,68.595,3.749,3.487,1.270,1,0.0000
63,1.0500,11.994,68.576,3.160,3.539,1.188,1,0.0000
64,1.0667,11.499,68.550,5.000,3.623,1.753,1,0.0000
65,1.0833,10.185,68.554,5.000,3.706,1.505,1,0.0000
66,1.1000,12.793,68.556,2.658,3.750,1.169,1,0.0000
67,1.1167,13.896,68.523,4.177,3.820,1.333,1,0.0000
68,1.1333,8.839,68.517,5.000,3.903,1.638,1,0.0000
69,1.1500,10.849,68.517,2.941,3.952,1.204,1,0.0000
70,1.1667,11.582,68.486,3.621,4.012,1.267,1,0.0000
71,1.1833,11.643,68.467,5.000,4.096,1.568,1,0.0000
72,1.2000,12.591,68.472,5.000,4.179,1.518,1,0.0000
73,1.2167,14.202,68.478,3.869,4.244,1.321,1,0.0000
74,1.2333,12.056,68.467,5.000,4.327,1.795,1,0.0000
75,1.2500,12.955,68.472,5.000,4.410,1.649,1,0.0000
76,1.2667,14.804,68.478,3.137,4.463,1.280,1,0.0000
77,1.2833,12.719,68.456,5.000,4.546,1.646,1,0.0000
78,1.3000,12.661,68.461,2.723,4.591,1.224,1,0.0000
79,1.3167,11.752,68.429,2.303,4.630,1.143,1,0.0000
80,1.3333,12.258,68.389,5.000,4.713,1.696,1,0.0000
81,1.3500,11.403,68.394,5.000,4.796,1.593,1,0.0000
82,1.3667,13.574,68.399,5.000,4.880,1.594,1,0.0000
83,1.3833,12.571,68.406,2.260,4.917,1.165,1,0.0000
84,1.4000,11.133,68.366,5.000,5.001,2.105,1,0.0000
85,1.4167,11.673,68.370,5.000,5.084,1.558,1,0.0000
86,1.4333,9.804,68.374,5.000,5.167,1.784,1,0.0000
87,1.4500,9.716,68.376,5.000,5.251,1.612,1,0.0000
88,1.4667,10.253,68.378,4.352,5.323,1.488,1,0.0000
89,1.4833,11.417,68.370,5.000,5.407,1.726,1,0.0000
90,1.5000,13.139,68.374,4.439,5.481,1.502,1,0.0000
91,1.5167,9.679,68.371,3.193,5.534,1.335,1,0.0000
92,1.5333,10.516,68.343,5.000,5.617,1.972,1,0.0000
93,1.5500,10.993,68.346,5.000,5.700,1.914,1,0.0000
94,1.5667,10.480,68.350,5.000,5.784,1.614,1,0.0000
95,1.5833,8.014,68.353,5.000,5.867,1.789,1,0.0000
96,1.6000,12.954,68.352,4.160,5.936,1.513,1,0.0000
97,1.6167,11.531,68.345,5.000,6.020,1.601,1,0.0000
98,1.6333,10.614,68.349,5.000,6.103,1.692,1,0.0000
99,1.6500,9.432,68.352,4.085,6.171,1.485,1,0.0000
100,1.6667,13.784,68.339,4.098,6.239,1.468,1,0.0000
101,1.6833,9.706,68.331,5.000,6.323,1.754,1,0.0000
102,1.7000,9.178,68.333,5.000,6.406,1.957,1,0.0000
103,1.7167,10.900,68.334,5.000,6.489,1.917,1,0.0000
104,1.7333,11.438,68.338,3.252,6.544,1.421,1,0.0000
105,1.7500,10.455,68.313,4.319,6.616,1.521,1,0.0000
106,1.7667,10.906,68.305,5.000,6.699,1.693,1,0.0000
107,1.7833,11.129,68.308,5.000,6.782,1.763,1,0.0000
108,1.8000,9.788,68.312,5.000,6.866,1.724,1,0.0000
109,1.8167,10.232,68.314,4.098,6.934,1.499,1,0.0000
110,1.8333,11.441,68.302,5.000,7.017,1.602,1,0.0000
111,1.8500,11.488,68.306,3.178,7.070,1.359,1,0.0000
112,1.8667,10.476,68.280,5.000,7.154,1.737,1,0.0000
113,1.8833,8.743,68.283,2.803,7.200,1.296,1,0.0000
114,1.9000,10.365,68.247,5.000,7.284,1.823,1,0.0000
115,1.9167,8.716,68.250,5.000,7.367,1.849,1,0.0000
116,1.9333,13.525,68.251,5.000,7.450,1.786,1,0.0000
117,1.9500,9.708,68.258,4.486,7.525,1.538,1,0.0000
118,1.9667,10.586,68.252,5.000,7.608,1.590,1,0.0000
119,1.9833,9.019,68.255,5.000,7.692,1.759,1,0.0000
120,2.0000,11.055,68.256,5.000,7.775,1.772,1,0.0000
121,2.0167,11.175,68.260,5.000,7.858,1.760,1,0.0000
122,2.0333,9.308,68.264,4.012,7.925,1.490,1,0.0000
123,2.0500,10.613,68.249,5.000,8.009,1.955,1,0.0000
124,2.0667,12.663,68.252,4.950,8.091,1.615,1,0.0000
125,2.0833,9.122,68.257,4.944,8.174,1.603,1,0.0000
126,2.1000,11.283,68.258,5.000,8.257,1.908,1,0.0000
127,2.1167,14.247,68.262,5.000,8.340,1.696,1,0.0000
128,2.1333,14.407,68.270,5.000,8.424,1.667,1,0.0000
129,2.1500,8.488,68.279,5.000,8.507,1.909,1,0.0000
130,2.1667,12.489,68.279,5.000,8.590,1.728,1,0.0000
131,2.1833,11.759,68.285,5.000,8.674,1.834,1,0.0000
132,2.2000,8.864,68.290,5.000,8.757,1.822,1,0.0000
133,2.2167,8.111,68.290,5.000,8.840,1.707,1,0.0000
134,2.2333,11.874,68.290,5.000,8.924,1.873,1,0.0000
135,2.2500,10.178,68.295,4.487,8.998,1.596,1,0.0000
136,2.2667,11.332,68.289,5.000,9.082,1.769,1,0.0000
137,2.2833,11.796,68.293,5.000,9.165,1.758,1,0.0000
138,2.3000,10.096,68.298,3.889,9.230,1.505,1,0.0000
139,2.3167,9.817,68.282,4.881,9.311,1.601,1,0.0000
140,2.3333,11.449,68.282,4.693,9.389,1.565,1,0.0000
141,2.3500,10.177,68.282,5.000,9.473,1.643,1,0.0000
142,2.3667,11.624,68.284,5.000,9.556,1.790,1,0.0000
143,2.3833,11.858,68.289,5.000,9.639,1.859,1,0.0000
144,2.4000,7.397,68.294,5.000,9.723,1.746,1,0.0000
145,2.4167,8.792,68.293,5.000,9.806,1.855,1,0.0000
146,2.4333,8.704,68.293,5.000,9.889,2.052,1,0.0000
147,2.4500,9.572,68.294,5.000,9.973,1.885,1,0.0000
148,2.4667,10.331,68.296,3.099,10.024,1.438,1,0.0000
149,2.4833,11.270,68.267,5.000,10.108,1.684,1,0.0000
150,2.5000,9.568,68.271,5.000,10.191,1.929,1,0.0000
151,2.5167,9.748,68.273,4.069,10.259,1.532,1,0.0000
152,2.5333,12.436,68.259,5.000,10.342,1.676,1,0.0000
153,2.5500,12.377,68.265,5.000,10.425,1.883,1,0.0000
154,2.5667,11.277,68.271,5.000,10.509,1.951,1,0.0000
155,2.5833,9.105,68.275,5.000,10.592,1.793,1,0.0000
156,2.6000,11.345,68.276,5.000,10.675,1.730,1,0.0000
157,2.6167,11.361,68.281,5.000,10.759,2.130,1,0.0000
158,2.6333,11.210,68.285,5.000,10.842,1.792,1,0.0000
159,2.6500,8.521,68.289,4.946,10.925,1.676,1,0.0000
160,2.6667,11.091,68.288,3.054,10.975,1.423,1,0.0000
161,2.6833,8.900,68.260,5.000,11.059,2.067,1,0.0000
162,2.7000,12.615,68.261,5.000,11.142,2.085,1,0.0000
163,2.7167,11.383,68.267,4.269,11.213,1.598,1,0.0000
164,2.7333,10.891,68.259,5.000,11.297,1.868,1,0.0000
165,2.7500,8.205,68.262,3.676,11.358,1.504,1,0.0000
166,2.7667,7.046,68.240,4.267,11.429,1.544,1,0.0000
167,2.7833,8.549,68.226,5.000,11.512,1.664,1,0.0000
168,2.8000,9.396,68.227,4.282,11.584,1.515,1,0.0000
169,2.8167,8.950,68.217,5.000,11.667,1.742,1,0.0000
170,2.8333,9.973,68.218,5.000,11.750,1.763,1,0.0000
171,2.8500,10.761,68.220,5.000,11.834,1.705,1,0.0000
172,2.8667,10.670,68.224,5.000,11.917,1.783,1,0.0000
173,2.8833,11.852,68.227,5.000,12.000,1.896,1,0.0000
174,2.9000,10.040,68.232,5.000,12.084,1.777,1,0.0000
175,2.9167,7.823,68.234,4.359,12.156,1.547,1,0.0000
176,2.9333,11.644,68.223,3.094,12.208,1.366,1,0.0000
177,2.9500,11.629,68.196,4.112,12.276,1.455,1,0.0000
178,2.9667,10.306,68.186,5.000,12.360,1.997,1,0.0000
179,2.9833,10.177,68.189,5.000,12.443,1.777,1,0.0000
180,3.0000,9.161,68.192,5.000,12.526,2.025,1,0.0000
181,3.0167,11.510,68.193,4.925,12.609,1.615,1,0.0000
182,3.0333,10.806,68.197,5.000,12.692,1.659,1,0.0000
183,3.0500,10.148,68.200,5.000,12.775,1.858,1,0.0000
184,3.0667,5.756,68.203,5.000,12.859,1.732,1,0.0000
185,3.0833,10.220,68.200,5.000,12.942,1.824,1,0.0000
186,3.1000,11.411,68.202,4.791,13.022,1.596,1,0.0000
187,3.1167,9.939,68.203,5.000,13.105,2.321,1,0.0000
188,3.1333,8.967,68.206,4.073,13.173,1.550,1,0.0000
189,3.1500,9.653,68.191,5.000,13.256,1.738,1,0.0000
190,3.1667,10.368,68.193,5.000,13.340,2.108,1,0.0000
191,3.1833,10.600,68.196,5.000,13.423,1.845,1,0.0000
192,3.2000,8.160,68.200,5.000,13.506,2.339,1,0.0000
193,3.2167,8.251,68.200,5.000,13.590,2.144,1,0.0000
194,3.2333,9.961,68.200,4.658,13.667,1.701,1,0.0000
195,3.2500,9.503,68.196,5.000,13.751,2.272,1,0.0000
196,3.2667,12.535,68.198,5.000,13.834,1.869,1,0.0000
197,3.2833,10.690,68.204,5.000,13.917,1.924,1,0.0000
198,3.3000,11.822,68.208,5.000,14.001,1.778,1,0.0000
199,3.3167,8.301,68.213,5.000,14.084,1.914,1,0.0000
200,3.3333,10.136,68.213,5.000,14.167,1.802,1,0.0000
201,3.3500,10.957,68.216,5.000,14.251,1.725,1,0.0000
202,3.3667,7.987,68.219,4.801,14.331,1.665,1,0.0000
203,3.3833,11.955,68.216,1.764,14.360,1.263,1,0.0000
204,3.4000,7.715,68.167,5.000,14.443,1.722,1,0.0000
205,3.4167,13.118,68.166,5.000,14.527,1.841,1,0.0000
206,3.4333,8.949,68.173,5.000,14.610,2.011,1,0.0000
207,3.4500,9.717,68.174,5.000,14.693,2.131,1,0.0000
208,3.4667,10.619,68.176,4.327,14.765,1.591,1,0.0000
209,3.4833,11.509,68.169,5.000,14.849,1.859,1,0.0000
210,3.5000,9.325,68.173,5.000,14.932,1.804,1,0.0000
211,3.5167,9.215,68.175,5.000,15.015,1.822,1,0.0000
212,3.5333,9.477,68.176,3.321,15.071,1.441,1,0.0000
213,3.5500,9.782,68.150,5.000,15.154,1.628,1,0.0000
214,3.5667,12.844,68.152,5.000,15.237,1.802,1,0.0000
215,3.5833,9.836,68.159,5.000,15.321,1.889,1,0.0000
216,3.6000,10.775,68.161,5.000,15.404,1.888,1,0.0000
217,3.6167,13.274,68.165,5.000,15.487,2.022,1,0.0000
